Net,Total Net Load,Static Prob.,Toggle rate,Switching Power,Class,RC
N260,0.544,0.859,0.0824,0.011,0,2.29E-02
N263,0.243,0.863,0.0819,0.0049,0,4.58E-03
N264,0.544,0.856,0.0844,0.0112,0,2.29E-02
N267,0.544,0.865,0.0837,0.0111,0,2.29E-02
N270,0.544,0.856,0.087,0.0116,0,2.29E-02
N273,0.544,0.863,0.0813,0.0108,0,2.29E-02
N276,0.544,0.86,0.0823,0.011,0,2.29E-02
N279,0.544,0.857,0.089,0.0118,0,2.29E-02
N28,0.243,0.137,0.0819,0.0049,0,4.58E-03
N282,0.544,0.862,0.0846,0.0113,0,2.29E-02
N285,0.544,0.865,0.0833,0.0111,0,2.29E-02
N288,0.243,0.858,0.0859,0.0051,0,4.58E-03
N289,0.243,0.873,0.0793,0.0047,0,4.58E-03
N29,0.243,0.144,0.0844,0.005,0,4.58E-03
N290,0.243,0.855,0.0856,0.0051,0,4.58E-03
N291,0.243,0.86,0.0809,0.0048,0,4.58E-03
N292,0.243,0.851,0.0855,0.0051,0,4.58E-03
N293,0.243,0.855,0.088,0.0052,0,4.58E-03
N294,0.243,0.867,0.0806,0.0048,0,4.58E-03
N295,0.243,0.865,0.0859,0.0051,0,4.58E-03
N296,0.243,0.233,0.1992,0.0119,0,4.58E-03
N3,0.243,0.24,0.0948,0.0056,0,4.58E-03
N300,0.243,0.137,0.0819,0.0049,0,4.58E-03
N301,0.243,0.142,0.0859,0.0051,0,4.58E-03
N302,0.243,0.127,0.0793,0.0047,0,4.58E-03
N303,0.243,0.145,0.0856,0.0051,0,4.58E-03
N304,0.243,0.14,0.0809,0.0048,0,4.58E-03
N305,0.243,0.149,0.0855,0.0051,0,4.58E-03
N306,0.243,0.145,0.088,0.0052,0,4.58E-03
N307,0.243,0.133,0.0806,0.0048,0,4.58E-03
N308,0.243,0.135,0.0859,0.0051,0,4.58E-03
N31,0.243,0.135,0.0837,0.005,0,4.58E-03
N32,0.243,0.144,0.087,0.0052,0,4.58E-03
N329,9.876,0.767,0.1992,0.4821,1,7.54E+00
N33,0.243,0.137,0.0813,0.0048,0,4.58E-03
N330,0.243,0.374,0.2317,0.0138,0,4.58E-03
N331,0.243,0.377,0.2292,0.0137,0,4.58E-03
N332,0.243,0.368,0.2314,0.0138,0,4.58E-03
N333,0.243,0.377,0.2325,0.0139,0,4.58E-03
N334,0.243,0.642,0.1717,0.0102,0,4.58E-03
N335,0.243,0.37,0.2281,0.0136,0,4.58E-03
N336,0.243,0.647,0.1681,0.01,0,4.58E-03
N337,0.243,0.373,0.2316,0.0138,0,4.58E-03
N338,0.243,0.641,0.1731,0.0103,0,4.58E-03
N339,0.243,0.376,0.2337,0.0139,0,4.58E-03
N340,0.243,0.647,0.1706,0.0102,0,4.58E-03
N341,0.243,0.371,0.2305,0.0137,0,4.58E-03
N342,0.243,0.635,0.1739,0.0104,0,4.58E-03
N343,0.243,0.368,0.2351,0.014,0,4.58E-03
N344,0.243,0.641,0.1736,0.0103,0,4.58E-03
N345,0.243,0.645,0.1673,0.01,0,4.58E-03
N346,0.243,0.644,0.1672,0.01,0,4.58E-03
N347,0.243,0.632,0.1759,0.0105,0,4.58E-03
N348,0.243,0.909,0.07,0.0042,0,4.58E-03
N349,0.243,0.906,0.0748,0.0045,0,4.58E-03
N35,0.243,0.14,0.0823,0.0049,0,4.58E-03
N350,0.243,0.916,0.0695,0.0041,0,4.58E-03
N351,0.243,0.904,0.0757,0.0045,0,4.58E-03
N352,0.243,0.908,0.0706,0.0042,0,4.58E-03
N353,0.243,0.9,0.0774,0.0046,0,4.58E-03
N354,0.243,0.903,0.0789,0.0047,0,4.58E-03
N355,0.243,0.911,0.0724,0.0043,0,4.58E-03
N356,0.243,0.911,0.0753,0.0045,0,4.58E-03
N357,0.243,0.36,0.2657,0.0158,0,4.58E-03
N36,0.243,0.143,0.089,0.0053,0,4.58E-03
N370,3.765,0.64,0.2657,0.2451,1,1.10E+00
N371,0.243,0.706,0.1913,0.0114,0,4.58E-03
N372,0.243,0.708,0.1831,0.0109,0,4.58E-03
N373,0.243,0.698,0.187,0.0111,0,4.58E-03
N374,0.243,0.711,0.1848,0.011,0,4.58E-03
N375,0.243,0.71,0.1842,0.011,0,4.58E-03
N376,0.243,0.723,0.1822,0.0109,0,4.58E-03
N377,0.243,0.715,0.1846,0.011,0,4.58E-03
N378,0.243,0.708,0.1886,0.0112,0,4.58E-03
N379,0.243,0.715,0.1796,0.0107,0,4.58E-03
N38,0.243,0.138,0.0846,0.005,0,4.58E-03
N380,0.243,0.857,0.1113,0.0066,0,4.58E-03
N381,1.203,0.851,0.1142,0.0336,0,1.12E-01
N386,1.951,0.863,0.1078,0.0515,0,2.94E-01
N39,0.243,0.135,0.0833,0.005,0,4.58E-03
N393,1.565,0.851,0.1165,0.0447,0,1.89E-01
N399,1.203,0.857,0.1092,0.0322,0,1.12E-01
N404,0.544,0.849,0.1152,0.0153,0,2.29E-02
N407,0.863,0.851,0.1192,0.0252,0,5.76E-02
N41,0.243,0.142,0.0859,0.0051,0,4.58E-03
N411,0.544,0.858,0.1127,0.015,0,2.29E-02
N414,0.243,0.859,0.113,0.0067,0,4.58E-03
N415,0.243,0.143,0.1113,0.0066,0,4.58E-03
N416,0.243,0.083,0.0857,0.0051,0,4.58E-03
N417,0.243,0.149,0.1165,0.0069,0,4.58E-03
N418,0.243,0.151,0.1152,0.0069,0,4.58E-03
N419,0.243,0.149,0.1192,0.0071,0,4.58E-03
N42,0.243,0.127,0.0793,0.0047,0,4.58E-03
N420,0.243,0.142,0.1127,0.0067,0,4.58E-03
N421,0.243,0.855,0.114,0.0068,1,4.58E-03
N422,0.544,0.86,0.1135,0.0151,0,2.29E-02
N425,0.544,0.877,0.1032,0.0137,0,2.29E-02
N428,0.243,0.871,0.1114,0.0066,0,4.58E-03
N429,0.243,0.887,0.1018,0.0061,0,4.58E-03
N430,0.243,0.523,0.2455,0.0146,1,4.58E-03
N431,0.243,0.495,0.2462,0.0147,1,4.58E-03
N432,0.243,0.492,0.2502,0.0149,1,4.58E-03
N44,0.243,0.145,0.0856,0.0051,0,4.58E-03
N45,0.243,0.14,0.0809,0.0048,0,4.58E-03
N46,0.243,0.149,0.0855,0.0051,0,4.58E-03
N48,0.243,0.145,0.088,0.0052,0,4.58E-03
N49,0.243,0.133,0.0806,0.0048,0,4.58E-03
N5,0.243,0.257,0.0977,0.0058,0,4.58E-03
N51,0.243,0.135,0.0859,0.0051,0,4.58E-03
N52,0.243,0.358,0.1717,0.0102,0,4.58E-03
N54,0.243,0.353,0.1681,0.01,0,4.58E-03
N55,0.243,0.359,0.1731,0.0103,0,4.58E-03
N57,0.243,0.353,0.1706,0.0102,0,4.58E-03
N58,0.243,0.365,0.1739,0.0104,0,4.58E-03
N59,0.243,0.359,0.1736,0.0103,0,4.58E-03
N6,0.243,0.248,0.0952,0.0057,0,4.58E-03
N61,0.243,0.355,0.1673,0.01,0,4.58E-03
N62,0.243,0.356,0.1672,0.01,0,4.58E-03
N64,0.243,0.368,0.1759,0.0105,0,4.58E-03
N65,0.243,0.091,0.07,0.0042,0,4.58E-03
N67,0.243,0.094,0.0748,0.0045,0,4.58E-03
N68,0.243,0.084,0.0695,0.0041,0,4.58E-03
N7,0.243,0.254,0.0966,0.0058,0,4.58E-03
N70,0.243,0.096,0.0757,0.0045,0,4.58E-03
N71,0.243,0.092,0.0706,0.0042,0,4.58E-03
N72,0.243,0.1,0.0774,0.0046,0,4.58E-03
N74,0.243,0.097,0.0789,0.0047,0,4.58E-03
N75,0.243,0.089,0.0724,0.0043,0,4.58E-03
N77,0.243,0.089,0.0753,0.0045,0,4.58E-03
N78,0.243,0.294,0.1913,0.0114,0,4.58E-03
N80,0.243,0.292,0.1831,0.0109,0,4.58E-03
N81,0.243,0.302,0.187,0.0111,0,4.58E-03
N83,0.243,0.289,0.1848,0.011,0,4.58E-03
N84,0.243,0.29,0.1842,0.011,0,4.58E-03
N85,0.243,0.277,0.1822,0.0109,0,4.58E-03
N87,0.243,0.285,0.1846,0.011,0,4.58E-03
N88,0.243,0.292,0.1886,0.0112,0,4.58E-03
N9,0.243,0.256,0.1013,0.006,0,4.58E-03
N90,0.243,0.285,0.1796,0.0107,0,4.58E-03
N91,0.243,0.14,0.1135,0.0068,0,4.58E-03
N93,0.243,0.129,0.1114,0.0066,0,4.58E-03
N94,0.243,0.143,0.1113,0.0066,0,4.58E-03
N96,0.243,0.149,0.1142,0.0068,0,4.58E-03
N97,0.243,0.137,0.1078,0.0064,0,4.58E-03
N98,0.243,0.149,0.1165,0.0069,0,4.58E-03
op,9.876,0.923,0.0773,0.1871,0,7.54E+00
QA,0.863,0.742,0.0246,0.0052,0,5.76E-02
QB,0.863,0.503,0.0244,0.0052,0,5.76E-02
QC,0.544,0.248,0.0247,0.0033,0,2.29E-02
QD,0.243,0.006,0.0245,0.0015,0,4.58E-03
